team,div,conf
ATL,southeast,east
BKN,atlantic,east
BOS,atlantic,east
CHA,southeast,east
CHI,central,east
CLE,central,east
DAL,southwest,west
DEN,northwest,west
DET,central,east
GSW,pacific,west
IND,central,east
HOU,southwest,west
LAC,pacific,west
LAL,pacific,west
MEM,southwest,west
MIA,southeast,east
MIL,central,east
MIN,northwest,west
NOP,southwest,west
NYK,atlantic,east
OKC,northwest,west
ORL,southeast,east
PHI,atlantic,east
PHX,pacific,west
POR,northwest,west
SAC,pacific,west
SAS,southwest,west
TOR,atlantic,east
UTA,northwest,west
WAS,southeast,east
